cricos_provider_code,trading_name,institution_name,institution_type,website,,,,,,,,,,,,,,
00431K,Bunbury Cathedral Grammar School,Bunbury Cathedral Grammar School Inc,Private,www.bcgs.wa.edu.au,,,,,,,,,,,,,,
00433G,Christ Church Grammar School,Christ Church Grammar School Inc,Private,www.ccgs.wa.edu.au,,,,,,,,,,,,,,
00437D,Guildford Grammar School,Guildford Grammar School Inc,Private,www.ggs.wa.edu.au,,,,,,,,,,,,,,
00438C,Hale School,The Governors of Hale School,Private,www.hale.wa.edu.au,,,,,,,,,,,,,,
00441G,Methodist Ladies' College,Methodist Ladies' College,Private,www.mlc.wa.edu.au,,,,,,,,,,,,,,
00444E,Penrhos College,Penrhos College,Private,www.penrhos.wa.edu.au,,,,,,,,,,,,,,
00445D,Perth College,Perth College Inc,Private,www.pc.wa.edu.au,,,,,,,,,,,,,,
00447B,Presbyterian Ladies' College,Presbyterian Ladies College Incorporated,Private,www.plc.wa.edu.au,,,,,,,,,,,,,,
00449M,Scotch College,Scotch College,Private,www.scotch.wa.edu.au,,,,,,,,,,,,,,
00451F,St Brigid's College; St Brigid's College - A Ministry of Mercy Education,Mercy Education Limited,Private,www.stbrigids.wa.edu.au,,,,,,,,,,,,,,
00452E,St Hilda's Anglican School for Girls,St Hilda's Anglican School for Girls Inc.,Private,www.sthildas.wa.edu.au,,,,,,,,,,,,,,
00454C,St Marys Anglican Girls' School,St Mary's Anglican Girls' School Inc,Private,www.stmarys.wa.edu.au,,,,,,,,,,,,,,
00460E,Wesley College,Wesley College,Private,www.wesley.wa.edu.au,,,,,,,,,,,,,,
